
8 op 0  0.095847 ms
8 op 1  0.098522 ms
8 op 10  0.500813 ms
8 op 11  0.197748 ms
8 op 12  0.507877 ms
8 op 30  0.503497 ms
8 op 31  0.200398 ms
8 op 32  0.509242 ms
8 op 34  0.601826 ms
8 op 35  0.604408 ms

9 op 0  0.095243 ms
9 op 1  0.098409 ms
9 op 10  0.502962 ms
9 op 11  0.196208 ms
9 op 12  0.508774 ms
9 op 30  0.506068 ms
9 op 31  0.199101 ms
9 op 32  0.511613 ms
9 op 34  0.603727 ms
9 op 35  0.606370 ms

10 op 0  0.095439 ms
10 op 1  0.098240 ms
10 op 10  0.502560 ms
10 op 11  0.196107 ms
10 op 12  0.509817 ms
10 op 30  0.505317 ms
10 op 31  0.198977 ms
10 op 32  0.511833 ms
10 op 34  0.603555 ms
10 op 35  0.606583 ms

11 op 0  0.094710 ms
11 op 1  0.097732 ms
11 op 10  0.502472 ms
11 op 11  0.195604 ms
11 op 12  0.508019 ms
11 op 30  0.505427 ms
11 op 31  0.198758 ms
11 op 32  0.510813 ms
11 op 34  0.603322 ms
11 op 35  0.606185 ms

12 op 0  0.095103 ms
12 op 1  0.097893 ms
12 op 10  0.502342 ms
12 op 11  0.195787 ms
12 op 12  0.509813 ms
12 op 30  0.505326 ms
12 op 31  0.198790 ms
12 op 32  0.511471 ms
12 op 34  0.603075 ms
12 op 35  0.606217 ms

13 op 0  0.094967 ms
13 op 1  0.098071 ms
13 op 10  0.502240 ms
13 op 11  0.195970 ms
13 op 12  0.508959 ms
13 op 30  0.504846 ms
13 op 31  0.198868 ms
13 op 32  0.510879 ms
13 op 34  0.603272 ms
13 op 35  0.606175 ms

14 op 0  0.106072 ms
14 op 1  0.109358 ms
14 op 10  0.501962 ms
14 op 11  0.206625 ms
14 op 12  0.507763 ms
14 op 30  0.504823 ms
14 op 31  0.209722 ms
14 op 32  0.510454 ms
14 op 34  0.602752 ms
14 op 35  0.605571 ms

15 op 0  0.095004 ms
15 op 1  0.097950 ms
15 op 10  0.501730 ms
15 op 11  0.195776 ms
15 op 12  0.507378 ms
15 op 30  0.504707 ms
15 op 31  0.198738 ms
15 op 32  0.509930 ms
15 op 34  0.602717 ms
15 op 35  0.605840 ms

16 op 0  0.094763 ms
16 op 1  0.097657 ms
16 op 10  0.502711 ms
16 op 11  0.195624 ms
16 op 12  0.509703 ms
16 op 30  0.505452 ms
16 op 31  0.199019 ms
16 op 32  0.510823 ms
16 op 34  0.603742 ms
16 op 35  0.606865 ms

17 op 0  0.094573 ms
17 op 1  0.097198 ms
17 op 10  0.503424 ms
17 op 11  0.195538 ms
17 op 12  0.511184 ms
17 op 30  0.506162 ms
17 op 31  0.198214 ms
17 op 32  0.513824 ms
17 op 34  0.604402 ms
17 op 35  0.607373 ms

18 op 0  0.094601 ms
18 op 1  0.097572 ms
18 op 10  0.502253 ms
18 op 11  0.195217 ms
18 op 12  0.509507 ms
18 op 30  0.504825 ms
18 op 31  0.198019 ms
18 op 32  0.512290 ms
18 op 34  0.603139 ms
18 op 35  0.606344 ms

19 op 0  0.094846 ms
19 op 1  0.097670 ms
19 op 10  0.502985 ms
19 op 11  0.195447 ms
19 op 12  0.510806 ms
19 op 30  0.505830 ms
19 op 31  0.198381 ms
19 op 32  0.514540 ms
19 op 34  0.603829 ms
19 op 35  0.606783 ms

20 op 0  0.095103 ms
20 op 1  0.098053 ms
20 op 10  0.502306 ms
20 op 11  0.195945 ms
20 op 12  0.510305 ms
20 op 30  0.505332 ms
20 op 31  0.199037 ms
20 op 32  0.515590 ms
20 op 34  0.603543 ms
20 op 35  0.606677 ms

21 op 0  0.094251 ms
21 op 1  0.097315 ms
21 op 10  0.496829 ms
21 op 11  0.194993 ms
21 op 12  0.504549 ms
21 op 30  0.500033 ms
21 op 31  0.198128 ms
